speaker_slug,speaker_name,roles,interviews,profile_status,source_status,youtube_query,profile_path
jennifer_windt,Jennifer Windt,interviewee,Issue01/Windt_Bucci_Milliere,candidate_ready,downloaded_reference_candidate,Jennifer Windt lecture interview consciousness neuroscience,AudioTranscription\profiles\jennifer_windt.json
jeremy_skipper,Jeremy Skipper,interviewee,Issue06/Skipper_Roseman_Koroma_Fejer,candidate_ready,downloaded_reference_candidate,Jeremy Skipper lecture interview consciousness neuroscience,AudioTranscription\profiles\jeremy_skipper.json
juan_gonzalez,Juan Gonzalez,interviewee,Issue06/Gonzalez_Koroma,candidate_ready,downloaded_reference_candidate,Juan Gonzalez lecture interview consciousness neuroscience,AudioTranscription\profiles\juan_gonzalez.json
karl_friston,Karl Friston,interviewee,Issue02/Friston;Issue02/Friston_Fortier_Friedman,candidate_ready,downloaded_reference_candidate,Karl Friston lecture interview consciousness neuroscience,AudioTranscription\profiles\karl_friston.json
katrin_preller,Katrin Preller,interviewee;interviewer,Issue03/Preller_Dumas;Issue04/Carter_Preller,candidate_ready,downloaded_reference_candidate,Katrin Preller lecture interview consciousness neuroscience,AudioTranscription\profiles\katrin_preller.json
kevin_oregan,Kevin O'Regan,interviewee,Issue02/ORegan_Erickson-Davis,candidate_ready,downloaded_reference_candidate,Kevin O'Regan lecture interview consciousness neuroscience,AudioTranscription\profiles\kevin_oregan.json
kieran_fox,Kieran Fox,interviewee,Issue02/Fox_Koroma,candidate_ready,downloaded_reference_candidate,Kieran Fox lecture interview consciousness neuroscience,AudioTranscription\profiles\kieran_fox.json
leor_roseman,Leor Roseman,interviewer,Issue02/Nichols_Roseman_Timmermann;Issue06/Skipper_Roseman_Koroma_Fejer,candidate_ready,downloaded_reference_candidate,Leor Roseman lecture interview consciousness neuroscience,AudioTranscription\profiles\leor_roseman.json
maddalena_canna,Maddalena Canna,interviewee;interviewer,Issue02/Taves_Fortier_Canna;Issue05/Canna_Seligman_Koroma,needs_source,blocked_youtube_source,Maddalena Canna lecture interview consciousness neuroscience,AudioTranscription\profiles\maddalena_canna.json
manoj_doss,Manoj Doss,interviewee,Issue06/Doss_Fejer,candidate_ready,downloaded_reference_candidate,Manoj Doss lecture interview consciousness neuroscience,AudioTranscription\profiles\manoj_doss.json
martin_fortier,Martin Fortier,interviewee;interviewer,Issue01/Carhart-Harris_Fortier_Milliere;Issue01/Luhrmann_Fortier;Issue02/Friston;Issue02/Friston_Fortier_Friedman;Issue02/Taves_Fortier_Canna;Issue03/Winkelman_Fortier;Issue04/Fortier_ALIUS,candidate_ready,downloaded_reference_candidate,Martin Fortier lecture interview consciousness neuroscience,AudioTranscription\profiles\martin_fortier.json
mathieu_frerejouan,Mathieu Frerejouan,interviewer,Issue01/McCarthy-Jones_Frerejouan;Issue02/Ratcliffe_Frerejouan,candidate_ready,downloaded_reference_candidate,Mathieu Frerejouan lecture interview consciousness neuroscience,AudioTranscription\profiles\mathieu_frerejouan.json
matthew_ratcliffe,Matthew Ratcliffe,interviewee,Issue02/Ratcliffe_Frerejouan,candidate_ready,downloaded_reference_candidate,Matthew Ratcliffe lecture interview consciousness neuroscience,AudioTranscription\profiles\matthew_ratcliffe.json
matthieu_koroma,Matthieu Koroma,interviewee;interviewer,Issue01/Hohwy_Koroma;Issue02/Fox_Koroma;Issue02/Friston;Issue03/Bayne_Bucci_Koroma;Issue04/Baird_Koroma;Issue05/Canna_Seligman_Koroma;Issue05/Chadha_Aviles_Koroma;Issue06/Ciaunica_Friedman_Coutrot_Koroma;Issue06/Gonzalez_Koroma;Issue06/Jillings_Friedman_Coutrot_Koroma;Issue06/Koroma_Friedman_Coutrot;Issue06/Skipper_Roseman_Koroma_Fejer;Issue07/Froese_Koroma,working,ready,Matthieu Koroma lecture interview consciousness neuroscience,AudioTranscription\profiles\matthieu_koroma.json
michael_winkelman,Michael Winkelman,interviewee,Issue03/Winkelman_Fortier,candidate_ready,downloaded_reference_candidate,Michael Winkelman lecture interview consciousness neuroscience,AudioTranscription\profiles\michael_winkelman.json
monima_chadha,Monima Chadha,interviewee,Issue05/Chadha_Aviles_Koroma,candidate_ready,downloaded_reference_candidate,Monima Chadha lecture interview consciousness neuroscience,AudioTranscription\profiles\monima_chadha.json
olivia_carter,Olivia Carter,interviewee,Issue04/Carter_Preller,candidate_ready,downloaded_reference_candidate,Olivia Carter lecture interview consciousness neuroscience,AudioTranscription\profiles\olivia_carter.json
olivia_gosseries,Olivia Gosseries,interviewee,Issue04/Gosseries_Martial,candidate_ready,downloaded_reference_candidate,Olivia Gosseries lecture interview consciousness neuroscience,AudioTranscription\profiles\olivia_gosseries.json
raphael_milliere,Raphael Milliere,interviewer,Issue01/Carhart-Harris_Fortier_Milliere;Issue01/Windt_Bucci_Milliere;Issue02/Friston;Issue02/Metzinger_Limanowski_Milliere;Issue04/Lenggenhager_Ho_Milliere;Issue04/Vignemont_Milliere_Serrahima,candidate_ready,downloaded_reference_candidate,Raphael Milliere lecture interview consciousness neuroscience,AudioTranscription\profiles\raphael_milliere.json
rebecca_seligman,Rebecca Seligman,interviewee,Issue01/Seligman_Halloy;Issue05/Canna_Seligman_Koroma,candidate_ready,downloaded_reference_candidate,Rebecca Seligman lecture interview consciousness neuroscience,AudioTranscription\profiles\rebecca_seligman.json
robert_sapolsky,Robert Sapolsky,interviewee,Issue06/Sapolsky_Mikhailova_Friedman,candidate_ready,downloaded_reference_candidate,Robert Sapolsky lecture interview consciousness neuroscience,AudioTranscription\profiles\robert_sapolsky.json
robin_carhart_harris,Robin Carhart-Harris,interviewee,Issue01/Carhart-Harris_Fortier_Milliere,candidate_ready,downloaded_reference_candidate,Robin Carhart-Harris lecture interview consciousness neuroscience,AudioTranscription\profiles\robin_carhart_harris.json
simon_mccarthy_jones,Simon McCarthy-Jones,interviewee,Issue01/McCarthy-Jones_Frerejouan,candidate_ready,downloaded_reference_candidate,Simon McCarthy-Jones lecture interview consciousness neuroscience,AudioTranscription\profiles\simon_mccarthy_jones.json
steven_jillings,Steven Jillings,interviewee,Issue06/Jillings_Friedman_Coutrot_Koroma,candidate_ready,downloaded_reference_candidate,Steven Jillings lecture interview consciousness neuroscience,AudioTranscription\profiles\steven_jillings.json
tanya_luhrmann,Tanya Luhrmann,interviewee,Issue01/Luhrmann_Fortier,candidate_ready,downloaded_reference_candidate,Tanya Luhrmann lecture interview consciousness neuroscience,AudioTranscription\profiles\tanya_luhrmann.json
thomas_metzinger,Thomas Metzinger,interviewee,Issue02/Metzinger_Limanowski_Milliere,candidate_ready,downloaded_reference_candidate,Thomas Metzinger lecture interview consciousness neuroscience,AudioTranscription\profiles\thomas_metzinger.json
tim_bayne,Tim Bayne,interviewee,Issue03/Bayne_Bucci_Koroma,candidate_ready,downloaded_reference_candidate,Tim Bayne lecture interview consciousness neuroscience,AudioTranscription\profiles\tim_bayne.json
timo_torsten_schmidt,Timo Torsten Schmidt,interviewee,Issue05/Schmidt_Fejer,candidate_ready,downloaded_reference_candidate,Timo Torsten Schmidt lecture interview consciousness neuroscience,AudioTranscription\profiles\timo_torsten_schmidt.json
timothy_hanks,Timothy Hanks,interviewee,Issue04/Hanks_Mikhailova_Friedman,candidate_ready,downloaded_reference_candidate,Timothy Hanks lecture interview consciousness neuroscience,AudioTranscription\profiles\timothy_hanks.json
tom_froese,Tom Froese,interviewee,Issue07/Froese_Koroma,working,ready,Tom Froese lecture interview consciousness neuroscience,AudioTranscription\profiles\tom_froese.json
zoltan_dienes,Zoltan Dienes,interviewee,Issue03/Dienes_Martin,candidate_ready,downloaded_reference_candidate,Zoltan Dienes lecture interview consciousness neuroscience,AudioTranscription\profiles\zoltan_dienes.json
